FECHA|HORA|ANA|JUAN|PABLO|LUIS|CARMEN|ELENA|DORI|BLAS|ZOE|FRAN|TIEMPO|JUGADORES|GANADOR
30/10/24|16:53|3|-|-|-|1|-|-|5|2|4|8|5|CARMEN
30/10/24|16:59|1|-|-|5|2|-|4|-|3|-|12|5|ANA
30/10/24|17:02|5|3|-|2|-|-|-|4|-|1|8|5|FRAN
30/10/24|17:12|-|5|2|4|1|-|3|-|-|-|10|5|CARMEN
30/10/24|17:13|-|-|5|4|3|1|2|-|-|-|9|5|ELENA
30/10/24|17:14|-|3|5|-|4|-|-|2|1|-|8|5|ZOE
30/10/24|17:15|2|-|-|-|1|4|3|5|-|-|8|5|CARMEN
30/10/24|18:09|-|4|-|2|1|3|-|-|5|-|11|5|CARMEN
30/10/24|18:13|-|3|-|4|-|-|2|1|5|-|8|5|BLAS
30/10/24|18:38|-|-|1|5|-|2|4|-|3|-|8|5|PABLO
30/10/24|18:56|4|1|3|-|5|2|-|-|-|-|12|5|JUAN
30/10/24|18:58|1|2|-|-|4|5|-|-|-|3|8|5|ANA
30/10/24|18:58|3|5|2|-|1|-|4|-|-|-|2|5|CARMEN
30/10/24|19:07|-|-|-|2|4|5|1|3|-|-|1|5|DORI
30/10/24|19:08|4|-|2|-|-|1|-|-|3|-|1|4|ELENA
30/10/24|19:09|-|-|-|3|2|-|-|1|4|-|1|4|BLAS
30/10/24|19:09|-|-|-|-|1|-|2|-|4|3|1|4|CARMEN
30/10/24|19:10|-|3|-|-|-|2|1|4|-|-|1|4|DORI
30/10/24|19:11|-|-|-|3|-|-|2|1|4|-|2|4|BLAS
30/10/24|19:13|-|-|4|3|-|-|-|2|-|1|1|4|FRAN
30/10/24|19:13|-|-|3|-|1|2|-|-|-|4|1|4|CARMEN
30/10/24|19:14|3|4|-|1|-|-|-|-|2|-|1|4|LUIS
30/10/24|19:15|-|4|2|-|-|-|-|-|1|3|1|4|ZOE
30/10/24|19:18|4|2|-|-|3|-|-|1|-|-|2|4|BLAS
30/10/24|19:18|-|-|-|2|-|4|-|3|1|-|1|4|ZOE
30/10/24|19:22|2|-|-|-|-|3|1|-|-|4|3|4|DORI
30/10/24|19:22|4|-|-|-|1|-|3|-|2|-|1|4|CARMEN
30/10/24|19:23|-|-|1|3|-|2|4|-|-|-|0|4|PABLO
30/10/24|19:25|-|2|4|-|1|3|-|-|-|-|1|4|CARMEN
30/10/24|19:27|-|-|2|1|-|-|-|-|3|4|2|4|LUIS
30/10/24|19:29|1|-|-|-|-|3|-|4|2|-|1|4|ANA
30/10/24|19:38|3|-|-|-|1|-|-|-|2|4|1|4|CARMEN
30/10/24|19:39|-|-|-|-|-|1|-|4|2|3|1|4|ELENA
30/10/24|19:40|-|1|-|-|-|-|-|3|2|4|1|4|JUAN
30/10/24|19:49|-|-|-|4|-|1|-|2|-|3|1|4|ELENA
30/10/24|19:51|3|-|-|4|1|-|-|-|2|-|3|4|CARMEN
30/10/24|19:53|-|-|-|-|-|-|4|3|2|1|2|4|FRAN
30/10/24|19:53|-|-|-|-|1|3|-|-|2|4|2|4|CARMEN
30/10/24|19:54|-|1|-|2|-|-|-|4|-|3|1|4|JUAN
30/10/24|19:54|-|4|2|-|-|-|-|1|-|3|1|4|BLAS
30/10/24|20:23|3|-|-|4|1|-|-|2|-|-|1|4|CARMEN
30/10/24|20:25|-|-|-|1|-|-|2|4|3|-|3|4|LUIS
30/10/24|20:25|3|-|1|2|-|-|4|-|-|-|2|4|PABLO
30/10/24|20:26|-|1|-|2|-|3|4|-|-|-|2|4|JUAN
30/10/24|20:27|1|-|2|-|-|4|-|-|-|3|2|4|ANA
30/10/24|20:29|-|4|-|-|-|1|-|-|3|2|2|4|ELENA
30/10/24|20:32|2|-|-|4|1|3|-|-|-|-|1|4|CARMEN
